date,location,vaccine,total_vaccinations
2021-04-17,Germany,Oxford/AstraZeneca,4508569
2021-04-18,Germany,Oxford/AstraZeneca,4590661
2021-04-19,Germany,Oxford/AstraZeneca,4666194
2021-04-20,Germany,Oxford/AstraZeneca,4805796
2021-04-21,Germany,Oxford/AstraZeneca,5030875
2021-04-22,Germany,Oxford/AstraZeneca,5244039
2021-04-23,Germany,Oxford/AstraZeneca,5403562
2021-04-24,Germany,Oxford/AstraZeneca,5484842
2021-04-25,Germany,Oxford/AstraZeneca,5546362
2021-04-26,Germany,Oxford/AstraZeneca,5618953
2021-04-27,Germany,Oxford/AstraZeneca,5675630
2021-04-28,Germany,Oxford/AstraZeneca,5729080
2021-04-29,Germany,Oxford/AstraZeneca,5786227
2021-04-30,Germany,Oxford/AstraZeneca,5853516
2021-05-01,Germany,Oxford/AstraZeneca,5892906
2021-05-02,Germany,Oxford/AstraZeneca,5923008
2021-05-03,Germany,Oxford/AstraZeneca,5984668
2021-05-04,Germany,Oxford/AstraZeneca,6134903
2021-05-05,Germany,Oxford/AstraZeneca,6347374
2021-05-06,Germany,Oxford/AstraZeneca,6548924
2021-05-07,Germany,Oxford/AstraZeneca,6761367
2021-05-08,Germany,Oxford/AstraZeneca,6845986
2021-05-09,Germany,Oxford/AstraZeneca,6880652
2021-05-10,Germany,Oxford/AstraZeneca,7011296
2021-05-11,Germany,Oxford/AstraZeneca,7187636
2021-05-12,Germany,Oxford/AstraZeneca,7412896
2021-05-13,Germany,Oxford/AstraZeneca,7457407
2021-05-14,Germany,Oxford/AstraZeneca,7595999
2021-05-15,Germany,Oxford/AstraZeneca,7652448
2021-05-16,Germany,Oxford/AstraZeneca,7677374
2021-05-17,Germany,Oxford/AstraZeneca,7798873
2021-05-18,Germany,Oxford/AstraZeneca,7972399
2021-05-19,Germany,Oxford/AstraZeneca,8153878
2021-05-20,Germany,Oxford/AstraZeneca,8310496
2021-05-21,Germany,Oxford/AstraZeneca,8467899
2021-05-22,Germany,Oxford/AstraZeneca,8551724
2021-05-23,Germany,Oxford/AstraZeneca,8575629
2021-05-24,Germany,Oxford/AstraZeneca,8596275
2021-05-25,Germany,Oxford/AstraZeneca,8700325
2021-05-26,Germany,Oxford/AstraZeneca,8834428
2021-05-27,Germany,Oxford/AstraZeneca,8966068
2021-05-28,Germany,Oxford/AstraZeneca,9096599
2021-05-29,Germany,Oxford/AstraZeneca,9154568
2021-05-30,Germany,Oxford/AstraZeneca,9182919
2021-05-31,Germany,Oxford/AstraZeneca,9252572
2021-06-01,Germany,Oxford/AstraZeneca,9343088
2021-06-02,Germany,Oxford/AstraZeneca,9425354
2021-06-03,Germany,Oxford/AstraZeneca,9475603
2021-06-04,Germany,Oxford/AstraZeneca,9552522
2021-06-05,Germany,Oxford/AstraZeneca,9596705
2021-06-06,Germany,Oxford/AstraZeneca,9623954
2021-06-07,Germany,Oxford/AstraZeneca,9696507
2021-06-08,Germany,Oxford/AstraZeneca,9759474
2021-06-09,Germany,Oxford/AstraZeneca,9823516
2021-06-10,Germany,Oxford/AstraZeneca,9879328
2021-06-11,Germany,Oxford/AstraZeneca,9948481
2021-06-12,Germany,Oxford/AstraZeneca,9991917
2021-06-13,Germany,Oxford/AstraZeneca,10017730
2021-06-14,Germany,Oxford/AstraZeneca,10085163
2021-06-15,Germany,Oxford/AstraZeneca,10169778
2021-06-16,Germany,Oxford/AstraZeneca,10266464
2021-06-17,Germany,Oxford/AstraZeneca,10358673
2021-06-18,Germany,Oxford/AstraZeneca,10455009
2021-06-19,Germany,Oxford/AstraZeneca,10505959
2021-06-20,Germany,Oxford/AstraZeneca,10537806
2021-06-21,Germany,Oxford/AstraZeneca,10623283
2021-06-22,Germany,Oxford/AstraZeneca,10725839
2021-06-23,Germany,Oxford/AstraZeneca,10841459
2021-06-24,Germany,Oxford/AstraZeneca,10952178
2021-06-25,Germany,Oxford/AstraZeneca,11062089
2021-06-26,Germany,Oxford/AstraZeneca,11134639
2021-06-27,Germany,Oxford/AstraZeneca,11191393
2021-06-28,Germany,Oxford/AstraZeneca,11305159
2021-06-29,Germany,Oxford/AstraZeneca,11437892
2021-06-30,Germany,Oxford/AstraZeneca,11574509
2021-07-01,Germany,Oxford/AstraZeneca,11707317
2021-07-02,Germany,Oxford/AstraZeneca,11786544
2021-07-03,Germany,Oxford/AstraZeneca,11813689
2021-07-04,Germany,Oxford/AstraZeneca,11828220
2021-07-05,Germany,Oxford/AstraZeneca,11867773
2021-07-06,Germany,Oxford/AstraZeneca,11913090
2021-07-07,Germany,Oxford/AstraZeneca,11964401
2021-07-08,Germany,Oxford/AstraZeneca,12007034
2021-07-09,Germany,Oxford/AstraZeneca,12050237
2021-07-10,Germany,Oxford/AstraZeneca,12071354
2021-07-11,Germany,Oxford/AstraZeneca,12081643
2021-07-12,Germany,Oxford/AstraZeneca,12105676
2021-07-13,Germany,Oxford/AstraZeneca,12140289
2021-07-14,Germany,Oxford/AstraZeneca,12187432
2021-07-15,Germany,Oxford/AstraZeneca,12225996
2021-07-16,Germany,Oxford/AstraZeneca,12257958
2021-07-17,Germany,Oxford/AstraZeneca,12273611
2021-07-18,Germany,Oxford/AstraZeneca,12285067
2021-07-19,Germany,Oxford/AstraZeneca,12304850
2021-07-20,Germany,Oxford/AstraZeneca,12326780
2021-07-21,Germany,Oxford/AstraZeneca,12349566
2021-07-22,Germany,Oxford/AstraZeneca,12368411
2021-07-23,Germany,Oxford/AstraZeneca,12386963
2021-07-24,Germany,Oxford/AstraZeneca,12394705
2021-07-25,Germany,Oxford/AstraZeneca,12397981
2021-07-26,Germany,Oxford/AstraZeneca,12410313
2021-07-27,Germany,Oxford/AstraZeneca,12430195
2021-07-28,Germany,Oxford/AstraZeneca,12453532
2021-07-29,Germany,Oxford/AstraZeneca,12473317
2021-07-30,Germany,Oxford/AstraZeneca,12490480
2021-07-31,Germany,Oxford/AstraZeneca,12496498
2021-08-01,Germany,Oxford/AstraZeneca,12498814
2021-08-02,Germany,Oxford/AstraZeneca,12507939
2021-08-03,Germany,Oxford/AstraZeneca,12519874
2021-08-04,Germany,Oxford/AstraZeneca,12531132
2021-08-05,Germany,Oxford/AstraZeneca,12539073
2021-08-06,Germany,Oxford/AstraZeneca,12546374
2021-08-07,Germany,Oxford/AstraZeneca,12547917
2021-08-08,Germany,Oxford/AstraZeneca,12548837
2021-08-09,Germany,Oxford/AstraZeneca,12554164
2021-08-10,Germany,Oxford/AstraZeneca,12562028
2021-08-11,Germany,Oxford/AstraZeneca,12571718
2021-08-12,Germany,Oxford/AstraZeneca,12578697
2021-08-13,Germany,Oxford/AstraZeneca,12585218
2021-08-14,Germany,Oxford/AstraZeneca,12586589
2021-08-15,Germany,Oxford/AstraZeneca,12587274
2021-08-16,Germany,Oxford/AstraZeneca,12590108
2021-08-17,Germany,Oxford/AstraZeneca,12595854
2021-08-18,Germany,Oxford/AstraZeneca,12601891
2021-08-19,Germany,Oxford/AstraZeneca,12606373
2020-12-27,Germany,Johnson&Johnson,0
2020-12-28,Germany,Johnson&Johnson,0
2020-12-29,Germany,Johnson&Johnson,0
2020-12-30,Germany,Johnson&Johnson,0
2020-12-31,Germany,Johnson&Johnson,0
2021-01-01,Germany,Johnson&Johnson,0
2021-01-02,Germany,Johnson&Johnson,0
2021-01-03,Germany,Johnson&Johnson,0
2021-01-04,Germany,Johnson&Johnson,0
2021-01-05,Germany,Johnson&Johnson,0
2021-01-06,Germany,Johnson&Johnson,0
2021-01-07,Germany,Johnson&Johnson,1
2021-01-08,Germany,Johnson&Johnson,1
2021-01-09,Germany,Johnson&Johnson,1
2021-01-10,Germany,Johnson&Johnson,1
2021-01-11,Germany,Johnson&Johnson,1
2021-01-12,Germany,Johnson&Johnson,1
2021-01-13,Germany,Johnson&Johnson,1
2021-01-14,Germany,Johnson&Johnson,1
2021-01-15,Germany,Johnson&Johnson,1
2021-01-16,Germany,Johnson&Johnson,1
2021-01-17,Germany,Johnson&Johnson,2
2021-01-18,Germany,Johnson&Johnson,2
2021-01-19,Germany,Johnson&Johnson,2
2021-01-20,Germany,Johnson&Johnson,2
2021-01-21,Germany,Johnson&Johnson,2
2021-01-22,Germany,Johnson&Johnson,2
2021-01-23,Germany,Johnson&Johnson,2
2021-01-24,Germany,Johnson&Johnson,2
2021-01-25,Germany,Johnson&Johnson,2
2021-01-26,Germany,Johnson&Johnson,2
2021-01-27,Germany,Johnson&Johnson,3
2021-01-28,Germany,Johnson&Johnson,3
2021-01-29,Germany,Johnson&Johnson,3
2021-01-30,Germany,Johnson&Johnson,3
2021-01-31,Germany,Johnson&Johnson,3
2021-02-01,Germany,Johnson&Johnson,3
2021-02-02,Germany,Johnson&Johnson,3
2021-02-03,Germany,Johnson&Johnson,3
2021-02-04,Germany,Johnson&Johnson,3
2021-02-05,Germany,Johnson&Johnson,3
2021-02-06,Germany,Johnson&Johnson,3
2021-02-07,Germany,Johnson&Johnson,4
2021-02-08,Germany,Johnson&Johnson,5
2021-02-09,Germany,Johnson&Johnson,5
2021-02-10,Germany,Johnson&Johnson,5
2021-02-11,Germany,Johnson&Johnson,7
2021-02-12,Germany,Johnson&Johnson,10
2021-02-13,Germany,Johnson&Johnson,11
2021-02-14,Germany,Johnson&Johnson,12
2021-02-15,Germany,Johnson&Johnson,13
2021-02-16,Germany,Johnson&Johnson,14
2021-02-17,Germany,Johnson&Johnson,15
2021-02-18,Germany,Johnson&Johnson,16
2021-02-19,Germany,Johnson&Johnson,17
2021-02-20,Germany,Johnson&Johnson,18
2021-02-21,Germany,Johnson&Johnson,19
2021-02-22,Germany,Johnson&Johnson,20
2021-02-23,Germany,Johnson&Johnson,21
2021-02-24,Germany,Johnson&Johnson,22
2021-02-25,Germany,Johnson&Johnson,22
2021-02-26,Germany,Johnson&Johnson,22
2021-02-27,Germany,Johnson&Johnson,22
2021-02-28,Germany,Johnson&Johnson,23
2021-03-01,Germany,Johnson&Johnson,23
2021-03-02,Germany,Johnson&Johnson,23
2021-03-03,Germany,Johnson&Johnson,23
2021-03-04,Germany,Johnson&Johnson,23
2021-03-05,Germany,Johnson&Johnson,24
2021-03-06,Germany,Johnson&Johnson,24
2021-03-07,Germany,Johnson&Johnson,24
2021-03-08,Germany,Johnson&Johnson,24
2021-03-09,Germany,Johnson&Johnson,24
2021-03-10,Germany,Johnson&Johnson,25
2021-03-11,Germany,Johnson&Johnson,25
2021-03-12,Germany,Johnson&Johnson,25
2021-03-13,Germany,Johnson&Johnson,25
2021-03-14,Germany,Johnson&Johnson,25
2021-03-15,Germany,Johnson&Johnson,25
2021-03-16,Germany,Johnson&Johnson,25
2021-03-17,Germany,Johnson&Johnson,25
2021-03-18,Germany,Johnson&Johnson,25
2021-03-19,Germany,Johnson&Johnson,25
2021-03-20,Germany,Johnson&Johnson,25
2021-03-21,Germany,Johnson&Johnson,25
2021-03-22,Germany,Johnson&Johnson,25
2021-03-23,Germany,Johnson&Johnson,25
2021-03-24,Germany,Johnson&Johnson,25
2021-03-25,Germany,Johnson&Johnson,25
2021-03-26,Germany,Johnson&Johnson,26
2021-03-27,Germany,Johnson&Johnson,27
2021-03-28,Germany,Johnson&Johnson,27
2021-03-29,Germany,Johnson&Johnson,27
2021-03-30,Germany,Johnson&Johnson,27
2021-03-31,Germany,Johnson&Johnson,27
2021-04-01,Germany,Johnson&Johnson,27
2021-04-02,Germany,Johnson&Johnson,27
2021-04-03,Germany,Johnson&Johnson,27
2021-04-04,Germany,Johnson&Johnson,27
2021-04-05,Germany,Johnson&Johnson,27
2021-04-06,Germany,Johnson&Johnson,29
2021-04-07,Germany,Johnson&Johnson,29
2021-04-08,Germany,Johnson&Johnson,29
2021-04-09,Germany,Johnson&Johnson,29
2021-04-10,Germany,Johnson&Johnson,29
2021-04-11,Germany,Johnson&Johnson,29
2021-04-12,Germany,Johnson&Johnson,30
2021-04-13,Germany,Johnson&Johnson,30
2021-04-14,Germany,Johnson&Johnson,30
2021-04-15,Germany,Johnson&Johnson,31
2021-04-16,Germany,Johnson&Johnson,31
2021-04-17,Germany,Johnson&Johnson,31
2021-04-18,Germany,Johnson&Johnson,31
2021-04-19,Germany,Johnson&Johnson,32
2021-04-20,Germany,Johnson&Johnson,33
2021-04-21,Germany,Johnson&Johnson,33
2021-04-22,Germany,Johnson&Johnson,33
2021-04-23,Germany,Johnson&Johnson,33
2021-04-24,Germany,Johnson&Johnson,33
2021-04-25,Germany,Johnson&Johnson,33
2021-04-26,Germany,Johnson&Johnson,103
2021-04-27,Germany,Johnson&Johnson,656
2021-04-28,Germany,Johnson&Johnson,1488
2021-04-29,Germany,Johnson&Johnson,2397
2021-04-30,Germany,Johnson&Johnson,3272
2021-05-01,Germany,Johnson&Johnson,5846
2021-05-02,Germany,Johnson&Johnson,7653
2021-05-03,Germany,Johnson&Johnson,9239
2021-05-04,Germany,Johnson&Johnson,12199
2021-05-05,Germany,Johnson&Johnson,16670
2021-05-06,Germany,Johnson&Johnson,21220
2021-05-07,Germany,Johnson&Johnson,25422
2021-05-08,Germany,Johnson&Johnson,27139
2021-05-09,Germany,Johnson&Johnson,28205
2021-05-10,Germany,Johnson&Johnson,31932
2021-05-11,Germany,Johnson&Johnson,35573
2021-05-12,Germany,Johnson&Johnson,41325
2021-05-13,Germany,Johnson&Johnson,43975
2021-05-14,Germany,Johnson&Johnson,51767
2021-05-15,Germany,Johnson&Johnson,56047
2021-05-16,Germany,Johnson&Johnson,60770
2021-05-17,Germany,Johnson&Johnson,70527
2021-05-18,Germany,Johnson&Johnson,78299
2021-05-19,Germany,Johnson&Johnson,90454
2021-05-20,Germany,Johnson&Johnson,101291
2021-05-21,Germany,Johnson&Johnson,113170
2021-05-22,Germany,Johnson&Johnson,127448
2021-05-23,Germany,Johnson&Johnson,136312
2021-05-24,Germany,Johnson&Johnson,144350
2021-05-25,Germany,Johnson&Johnson,169507
2021-05-26,Germany,Johnson&Johnson,247779
2021-05-27,Germany,Johnson&Johnson,328899
2021-05-28,Germany,Johnson&Johnson,412654
2021-05-29,Germany,Johnson&Johnson,440446
2021-05-30,Germany,Johnson&Johnson,451478
2021-05-31,Germany,Johnson&Johnson,493953
2021-06-01,Germany,Johnson&Johnson,578508
2021-06-02,Germany,Johnson&Johnson,683358
2021-06-03,Germany,Johnson&Johnson,736560
2021-06-04,Germany,Johnson&Johnson,813776
2021-06-05,Germany,Johnson&Johnson,844387
2021-06-06,Germany,Johnson&Johnson,862628
2021-06-07,Germany,Johnson&Johnson,917110
2021-06-08,Germany,Johnson&Johnson,985458
2021-06-09,Germany,Johnson&Johnson,1081236
2021-06-10,Germany,Johnson&Johnson,1169681
2021-06-11,Germany,Johnson&Johnson,1266456
2021-06-12,Germany,Johnson&Johnson,1301694
2021-06-13,Germany,Johnson&Johnson,1315482
2021-06-14,Germany,Johnson&Johnson,1370719
2021-06-15,Germany,Johnson&Johnson,1429803
2021-06-16,Germany,Johnson&Johnson,1506090
2021-06-17,Germany,Johnson&Johnson,1574361
2021-06-18,Germany,Johnson&Johnson,1643205
2021-06-19,Germany,Johnson&Johnson,1664347
2021-06-20,Germany,Johnson&Johnson,1677160
2021-06-21,Germany,Johnson&Johnson,1713509
2021-06-22,Germany,Johnson&Johnson,1747658
2021-06-23,Germany,Johnson&Johnson,1782189
2021-06-24,Germany,Johnson&Johnson,1822487
2021-06-25,Germany,Johnson&Johnson,1862637
2021-06-26,Germany,Johnson&Johnson,1875898
2021-06-27,Germany,Johnson&Johnson,1880019
2021-06-28,Germany,Johnson&Johnson,1904406
2021-06-29,Germany,Johnson&Johnson,1926844
2021-06-30,Germany,Johnson&Johnson,1949554
2021-07-01,Germany,Johnson&Johnson,1972187
2021-07-02,Germany,Johnson&Johnson,1994362
2021-07-03,Germany,Johnson&Johnson,2009572
2021-07-04,Germany,Johnson&Johnson,2018489
2021-07-05,Germany,Johnson&Johnson,2033341
2021-07-06,Germany,Johnson&Johnson,2049045
2021-07-07,Germany,Johnson&Johnson,2068089
2021-07-08,Germany,Johnson&Johnson,2087491
2021-07-09,Germany,Johnson&Johnson,2108142
2021-07-10,Germany,Johnson&Johnson,2117922
2021-07-11,Germany,Johnson&Johnson,2126215
2021-07-12,Germany,Johnson&Johnson,2140318
2021-07-13,Germany,Johnson&Johnson,2160241
2021-07-14,Germany,Johnson&Johnson,2183165
2021-07-15,Germany,Johnson&Johnson,2205741
2021-07-16,Germany,Johnson&Johnson,2227949
2021-07-17,Germany,Johnson&Johnson,2246525
2021-07-18,Germany,Johnson&Johnson,2257772
2021-07-19,Germany,Johnson&Johnson,2272012
2021-07-20,Germany,Johnson&Johnson,2286327
2021-07-21,Germany,Johnson&Johnson,2300208
2021-07-22,Germany,Johnson&Johnson,2313786
2021-07-23,Germany,Johnson&Johnson,2331968
2021-07-24,Germany,Johnson&Johnson,2343810
2021-07-25,Germany,Johnson&Johnson,2349560
2021-07-26,Germany,Johnson&Johnson,2360635
2021-07-27,Germany,Johnson&Johnson,2373504
2021-07-28,Germany,Johnson&Johnson,2387230
2021-07-29,Germany,Johnson&Johnson,2401926
2021-07-30,Germany,Johnson&Johnson,2418020
2021-07-31,Germany,Johnson&Johnson,2430504
2021-08-01,Germany,Johnson&Johnson,2436377
2021-08-02,Germany,Johnson&Johnson,2447628
2021-08-03,Germany,Johnson&Johnson,2460805
2021-08-04,Germany,Johnson&Johnson,2473587
2021-08-05,Germany,Johnson&Johnson,2487933
2021-08-06,Germany,Johnson&Johnson,2503066
2021-08-07,Germany,Johnson&Johnson,2515940
2021-08-08,Germany,Johnson&Johnson,2519930
2021-08-09,Germany,Johnson&Johnson,2528888
2021-08-10,Germany,Johnson&Johnson,2540131
2021-08-11,Germany,Johnson&Johnson,2555807
2021-08-12,Germany,Johnson&Johnson,2574382
2021-08-13,Germany,Johnson&Johnson,2593691
2021-08-14,Germany,Johnson&Johnson,2608837
2021-08-15,Germany,Johnson&Johnson,2616243
2021-08-16,Germany,Johnson&Johnson,2629747
2021-08-17,Germany,Johnson&Johnson,2644542
2021-08-18,Germany,Johnson&Johnson,2661548
2021-08-19,Germany,Johnson&Johnson,2676194
